well	strain	sample_name	time_point	target_name	ct	ct_mean	ct_sd	quantity	quantity_mean	quantity_sd
G3	Atc	Atc_1	24	mE1A	19.03570557	18.94857407	0.123222552	1794796.75	1897678.375	145496.5938
G4	Atc	Atc_1	24	mE1A	18.86144257	18.94857407	0.123222552	2000560	1897678.375	145496.5938
G11	Atc	Atc_2	48	mE1A	18.86578369	18.81108856	0.077349246	1995158.375	2065492	99466.67969
G12	Atc	Atc_2	48	mE1A	18.75639534	18.81108856	0.077349246	2135825.5	2065492	99466.67969
H7	Atc	Atc_3	72	mE1A	19.15435982	19.07174301	0.116836458	1666942.125	1757283.875	127762.5313
H8	Atc	Atc_3	72	mE1A	18.98912811	19.07174301	0.116836458	1847625.625	1757283.875	127762.5313
G7	B6	B6_1	24	mE1A	19.05739212	19.06279373	0.007640381	1770717.5	1764779.25	8397.865234
G8	B6	B6_1	24	mE1A	19.06819725	19.06279373	0.007640381	1758841.125	1764779.25	8397.865234
H3	B6	B6_2	48	mE1A	18.97878838	19.02171707	0.060710344	1859562.5	1811149.25	68466.76563
H4	B6	B6_2	48	mE1A	19.06464577	19.02171707	0.060710344	1762735.875	1811149.25	68466.76563
H11	B6	B6_3	72	mE1A	19.41965675	19.48656082	0.094615288	1413059.5	1356565.5	79894.49219
H12	B6	B6_3	72	mE1A	19.55346298	19.48656082	0.094615288	1300071.625	1356565.5	79894.49219
E4	Atc	Atc_4	48	mE1A	20.3556633	20.44997025	0.083273612	2052723.5	1938290.625	100884.6797
E5	Atc	Atc_4	48	mE1A	20.4808712	20.44997025	0.083273612	1899956.875	1938290.625	100884.6797
E6	Atc	Atc_4	48	mE1A	20.51337624	20.44997025	0.083273612	1862191.5	1938290.625	100884.6797
E7	Atc	Atc_5	48	mE1A	20.82069016	20.7827549	0.062119685	1540239.125	1577535	61180.29688
E8	Atc	Atc_5	48	mE1A	20.81650734	20.7827549	0.062119685	1544223.5	1577535	61180.29688
E9	Atc	Atc_5	48	mE1A	20.71106529	20.7827549	0.062119685	1648142.5	1577535	61180.29688
E10	Atc	Atc_6	48	mE1A	21.08703804	21.02515602	0.061811563	1306595	1358160.625	51840.01953
